Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts , Sales, COGS ,Profit,Date,Month Number, Month Name ,Year
Small Business,United States of America, VTT , Low ,2844, $250.00 , $300.00 ," $853,200.00 "," $25,596.00 ",827604.00," $711,000.00 ",116604.00,2/1/2014,2, February ,2014
Channel Partners,Mexico, VTT , Low ,1916, $250.00 , $12.00 ," $22,992.00 ", $689.76 ,22302.24," $5,748.00 ",16554.24,4/1/2014,4, April ,2014
Enterprise,Germany, VTT , Low ,1570, $250.00 , $125.00 ," $196,250.00 "," $5,887.50 ",190362.50," $188,400.00 ",1962.50,6/1/2014,6, June ,2014
Small Business,Canada, VTT , Low ,1874, $250.00 , $300.00 ," $562,200.00 "," $16,866.00 ",545334.00," $468,500.00 ",76834.00,8/1/2014,8, August ,2014
Government,Mexico, VTT , Low ,1642, $250.00 , $350.00 ," $574,700.00 "," $17,241.00 ",557459.00," $426,920.00 ",130539.00,8/1/2014,8, August ,2014
Midmarket,Germany, VTT , Low ,1945, $250.00 , $15.00 ," $29,175.00 ", $875.25 ,28299.75," $19,450.00 ",8849.75,10/1/2013,10, October ,2013
Government,Canada, Carretera , Low ,831, $3.00 , $20.00 ," $16,620.00 ", $498.60 ,16121.40," $8,310.00 ",7811.40,5/1/2014,5, May ,2014
Government,Mexico, Paseo , Low ,1760, $10.00 , $7.00 ," $12,320.00 ", $369.60 ,11950.40," $8,800.00 ",3150.40,9/1/2013,9, September ,2013
Government,Canada, Velo , Low ,3850.5, $120.00 , $20.00 ," $77,010.00 "," $2,310.30 ",74699.70," $38,505.00 ",36194.70,4/1/2014,4, April ,2014
Channel Partners,Germany, VTT , Low ,2479, $250.00 , $12.00 ," $29,748.00 ", $892.44 ,28855.56," $7,437.00 ",21418.56,1/1/2014,1, January ,2014
Midmarket,Mexico, Montana , Low ,2031, $5.00 , $15.00 ," $30,465.00 "," $1,218.60 ",29246.40," $20,310.00 ",8936.40,10/1/2014,10, October ,2014
Midmarket,Mexico, Paseo , Low ,2031, $10.00 , $15.00 ," $30,465.00 "," $1,218.60 ",29246.40," $20,310.00 ",8936.40,10/1/2014,10, October ,2014
Midmarket,France, Paseo , Low ,2261, $10.00 , $15.00 ," $33,915.00 "," $1,356.60 ",32558.40," $22,610.00 ",9948.40,12/1/2013,12, December ,2013
Government,United States of America, Velo , Low ,736, $120.00 , $20.00 ," $14,720.00 ", $588.80 ,14131.20," $7,360.00 ",6771.20,9/1/2013,9, September ,2013
Government,Canada, Carretera , Low ,2851, $3.00 , $7.00 ," $19,957.00 ", $798.28 ,19158.72," $14,255.00 ",4903.72,10/1/2013,10, October ,2013
Small Business,Germany, Carretera , Low ,2021, $3.00 , $300.00 ," $606,300.00 "," $24,252.00 ",582048.00," $505,250.00 ",76798.00,10/1/2014,10, October ,2014
Government,United States of America, Carretera , Low ,274, $3.00 , $350.00 ," $95,900.00 "," $3,836.00 ",92064.00," $71,240.00 ",20824.00,12/1/2014,12, December ,2014
Midmarket,Canada, Montana , Low ,1967, $5.00 , $15.00 ," $29,505.00 "," $1,180.20 ",28324.80," $19,670.00 ",8654.80,3/1/2014,3, March ,2014
Small Business,Germany, Montana , Low ,1859, $5.00 , $300.00 ," $557,700.00 "," $22,308.00 ",535392.00," $464,750.00 ",70642.00,8/1/2014,8, August ,2014
Government,Canada, Montana , Low ,2851, $5.00 , $7.00 ," $19,957.00 ", $798.28 ,19158.72," $14,255.00 ",4903.72,10/1/2013,10, October ,2013
Small Business,Germany, Montana , Low ,2021, $5.00 , $300.00 ," $606,300.00 "," $24,252.00 ",582048.00," $505,250.00 ",76798.00,10/1/2014,10, October ,2014
Enterprise,Mexico, Montana , Low ,1138, $5.00 , $125.00 ," $142,250.00 "," $5,690.00 ",136560.00," $136,560.00 ",0.00,12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ,4251, $10.00 , $7.00 ," $29,757.00 "," $1,190.28 ",28566.72," $21,255.00 ",7311.72,1/1/2014,1, January ,2014
Enterprise,Germany, Paseo , Low ,795, $10.00 , $125.00 ," $99,375.00 "," $3,975.00 ",95400.00," $95,400.00 ",0.00,3/1/2014,3, March ,2014
Small Business,Germany, Paseo , Low ,1414.5, $10.00 , $300.00 ," $424,350.00 "," $16,974.00 ",407376.00," $353,625.00 ",53751.00,4/1/2014,4, April ,2014
Small Business,United States of America, Paseo , Low ,2918, $10.00 , $300.00 ," $875,400.00 "," $35,016.00 ",840384.00," $729,500.00 ",110884.00,5/1/2014,5, May ,2014
Government,United States of America, Paseo , Low ,3450, $10.00 , $350.00 ," $1,207,500.00 "," $48,300.00 ",1159200.00," $897,000.00 ",262200.00,7/1/2014,7, July ,2014
Enterprise,France, Paseo , Low ,2988, $10.00 , $125.00 ," $373,500.00 "," $14,940.00 ",358560.00," $358,560.00 ",0.00,7/1/2014,7, July ,2014
Midmarket,Canada, Paseo , Low ,218, $10.00 , $15.00 ," $3,270.00 ", $130.80 ,3139.20," $2,180.00 ",959.20,9/1/2014,9, September ,2014
Government,Canada, Paseo , Low ,2074, $10.00 , $20.00 ," $41,480.00 "," $1,659.20 ",39820.80," $20,740.00 ",19080.80,9/1/2014,9, September ,2014
Government,United States of America, Paseo , Low ,1056, $10.00 , $20.00 ," $21,120.00 ", $844.80 ,20275.20," $10,560.00 ",9715.20,9/1/2014,9, September ,2014
Midmarket,United States of America, Paseo , Low ,671, $10.00 , $15.00 ," $10,065.00 ", $402.60 ,9662.40," $6,710.00 ",2952.40,10/1/2013,10, October ,2013
Midmarket,Mexico, Paseo , Low ,1514, $10.00 , $15.00 ," $22,710.00 ", $908.40 ,21801.60," $15,140.00 ",6661.60,10/1/2013,10, October ,2013
Government,United States of America, Paseo , Low ,274, $10.00 , $350.00 ," $95,900.00 "," $3,836.00 ",92064.00," $71,240.00 ",20824.00,12/1/2014,12, December ,2014
Enterprise,Mexico, Paseo , Low ,1138, $10.00 , $125.00 ," $142,250.00 "," $5,690.00 ",136560.00," $136,560.00 ",0.00,12/1/2014,12, December ,2014
Channel Partners,United States of America, Velo , Low ,1465, $120.00 , $12.00 ," $17,580.00 ", $703.20 ,16876.80," $4,395.00 ",12481.80,3/1/2014,3, March ,2014
Government,Canada, Velo , Low ,2646, $120.00 , $20.00 ," $52,920.00 "," $2,116.80 ",50803.20," $26,460.00 ",24343.20,9/1/2013,9, September ,2013
Government,France, Velo , Low ,2177, $120.00 , $350.00 ," $761,950.00 "," $30,478.00 ",731472.00," $566,020.00 ",165452.00,10/1/2014,10, October ,2014
Channel Partners,France, VTT , Low ,866, $250.00 , $12.00 ," $10,392.00 ", $415.68 ,9976.32," $2,598.00 ",7378.32,5/1/2014,5, May ,2014
Government,United States of America, VTT , Low ,349, $250.00 , $350.00 ," $122,150.00 "," $4,886.00 ",117264.00," $90,740.00 ",26524.00,9/1/2013,9, September ,2013
Government,France, VTT , Low ,2177, $250.00 , $350.00 ," $761,950.00 "," $30,478.00 ",731472.00," $566,020.00 ",165452.00,10/1/2014,10, October ,2014
Midmarket,Mexico, VTT , Low ,1514, $250.00 , $15.00 ," $22,710.00 ", $908.40 ,21801.60," $15,140.00 ",6661.60,10/1/2013,10, October ,2013
Government,Mexico, Amarilla , Low ,1865, $260.00 , $350.00 ," $652,750.00 "," $26,110.00 ",626640.00," $484,900.00 ",141740.00,2/1/2014,2, February ,2014
Enterprise,Mexico, Amarilla , Low ,1074, $260.00 , $125.00 ," $134,250.00 "," $5,370.00 ",128880.00," $128,880.00 ",0.00,4/1/2014,4, April ,2014
Government,Germany, Amarilla , Low ,1907, $260.00 , $350.00 ," $667,450.00 "," $26,698.00 ",640752.00," $495,820.00 ",144932.00,9/1/2014,9, September ,2014
Midmarket,United States of America, Amarilla , Low ,671, $260.00 , $15.00 ," $10,065.00 ", $402.60 ,9662.40," $6,710.00 ",2952.40,10/1/2013,10, October ,2013
Government,Canada, Amarilla , Low ,1778, $260.00 , $350.00 ," $622,300.00 "," $24,892.00 ",597408.00," $462,280.00 ",135128.00,12/1/2013,12, December ,2013
Government,Germany, Montana , Medium ,1159, $5.00 , $7.00 ," $8,113.00 ", $405.65 ,7707.35," $5,795.00 ",1912.35,10/1/2013,10, October ,2013
Government,Germany, Paseo , Medium ,1372, $10.00 , $7.00 ," $9,604.00 ", $480.20 ,9123.80," $6,860.00 ",2263.80,1/1/2014,1, January ,2014
Government,Canada, Paseo , Medium ,2349, $10.00 , $7.00 ," $16,443.00 ", $822.15 ,15620.85," $11,745.00 ",3875.85,9/1/2013,9, September ,2013
Government,Mexico, Paseo , Medium ,2689, $10.00 , $7.00 ," $18,823.00 ", $941.15 ,17881.85," $13,445.00 ",4436.85,10/1/2014,10, October ,2014
Channel Partners,Canada, Paseo , Medium ,2431, $10.00 , $12.00 ," $29,172.00 "," $1,458.60 ",27713.40," $7,293.00 ",20420.40,12/1/2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ,2431, $120.00 , $12.00 ," $29,172.00 "," $1,458.60 ",27713.40," $7,293.00 ",20420.40,12/1/2014,12, December ,2014
Government,Mexico, VTT , Medium ,2689, $250.00 , $7.00 ," $18,823.00 ", $941.15 ,17881.85," $13,445.00 ",4436.85,10/1/2014,10, October ,2014
Government,Mexico, Amarilla , Medium ,1683, $260.00 , $7.00 ," $11,781.00 ", $589.05 ,11191.95," $8,415.00 ",2776.95,7/1/2014,7, July ,2014
Channel Partners,Mexico, Amarilla , Medium ,1123, $260.00 , $12.00 ," $13,476.00 ", $673.80 ,12802.20," $3,369.00 ",9433.20,8/1/2014,8, August ,2014
Government,Germany, Amarilla , Medium ,1159, $260.00 , $7.00 ," $8,113.00 ", $405.65 ,7707.35," $5,795.00 ",1912.35,10/1/2013,10, October ,2013
Channel Partners,France, Carretera , Medium ,1865, $3.00 , $12.00 ," $22,380.00 "," $1,119.00 ",21261.00," $5,595.00 ",15666.00,2/1/2014,2, February ,2014
Channel Partners,Germany, Carretera , Medium ,1116, $3.00 , $12.00 ," $13,392.00 ", $669.60 ,12722.40," $3,348.00 ",9374.40,2/1/2014,2, February ,2014
Government,France, Carretera , Medium ,1563, $3.00 , $20.00 ," $31,260.00 "," $1,563.00 ",29697.00," $15,630.00 ",14067.00,5/1/2014,5, May ,2014
Small Business,United States of America, Carretera , Medium ,991, $3.00 , $300.00 ," $297,300.00 "," $14,865.00 ",282435.00," $247,750.00 ",34685.00,6/1/2014,6, June ,2014
Government,Germany, Carretera , Medium ,1016, $3.00 , $7.00 ," $7,112.00 ", $355.60 ,6756.40," $5,080.00 ",1676.40,11/1/2013,11, November ,2013
Midmarket,Mexico, Carretera , Medium ,2791, $3.00 , $15.00 ," $41,865.00 "," $2,093.25 ",39771.75," $27,910.00 ",11861.75,11/1/2014,11, November ,2014
Government,United States of America, Carretera , Medium ,570, $3.00 , $7.00 ," $3,990.00 ", $199.50 ,3790.50," $2,850.00 ",940.50,12/1/2014,12, December ,2014
Government,France, Carretera , Medium ,2487, $3.00 , $7.00 ," $17,409.00 ", $870.45 ,16538.55," $12,435.00 ",4103.55,12/1/2014,12, December ,2014
Government,France, Montana , Medium ,1384.5, $5.00 , $350.00 ," $484,575.00 "," $24,228.75 ",460346.25," $359,970.00 ",100376.25,1/1/2014,1, January ,2014
Enterprise,United States of America, Montana , Medium ,3627, $5.00 , $125.00 ," $453,375.00 "," $22,668.75 ",430706.25," $435,240.00 ",-4533.75,7/1/2014,7, July ,2014
Government,Mexico, Montana , Medium ,720, $5.00 , $350.00 ," $252,000.00 "," $12,600.00 ",239400.00," $187,200.00 ",52200.00,9/1/2013,9, September ,2013
Channel Partners,Germany, Montana , Medium ,2342, $5.00 , $12.00 ," $28,104.00 "," $1,405.20 ",26698.80," $7,026.00 ",19672.80,11/1/2014,11, November ,2014
Small Business,Mexico, Montana , Medium ,1100, $5.00 , $300.00 ," $330,000.00 "," $16,500.00 ",313500.00," $275,000.00 ",38500.00,12/1/2013,12, December ,2013
Government,France, Paseo , Medium ,1303, $10.00 , $20.00 ," $26,060.00 "," $1,303.00 ",24757.00," $13,030.00 ",11727.00,2/1/2014,2, February ,2014
Enterprise,United States of America, Paseo , Medium ,2992, $10.00 , $125.00 ," $374,000.00 "," $18,700.00 ",355300.00," $359,040.00 ",-3740.00,3/1/2014,3, March ,2014
Enterprise,France, Paseo , Medium ,2385, $10.00 , $125.00 ," $298,125.00 "," $14,906.25 ",283218.75," $286,200.00 ",-2981.25,3/1/2014,3, March ,2014
Small Business,Mexico, Paseo , Medium ,1607, $10.00 , $300.00 ," $482,100.00 "," $24,105.00 ",457995.00," $401,750.00 ",56245.00,4/1/2014,4, April ,2014
Government,United States of America, Paseo , Medium ,2327, $10.00 , $7.00 ," $16,289.00 ", $814.45 ,15474.55," $11,635.00 ",3839.55,5/1/2014,5, May ,2014
Small Business,United States of America, Paseo , Medium ,991, $10.00 , $300.00 ," $297,300.00 "," $14,865.00 ",282435.00," $247,750.00 ",34685.00,6/1/2014,6, June ,2014
Government,United States of America, Paseo , Medium ,602, $10.00 , $350.00 ," $210,700.00 "," $10,535.00 ",200165.00," $156,520.00 ",43645.00,6/1/2014,6, June ,2014
Midmarket,France, Paseo , Medium ,2620, $10.00 , $15.00 ," $39,300.00 "," $1,965.00 ",37335.00," $26,200.00 ",11135.00,9/1/2014,9, September ,2014
Government,Canada, Paseo , Medium ,1228, $10.00 , $350.00 ," $429,800.00 "," $21,490.00 ",408310.00," $319,280.00 ",89030.00,10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ,1389, $10.00 , $20.00 ," $27,780.00 "," $1,389.00 ",26391.00," $13,890.00 ",12501.00,10/1/2013,10, October ,2013
Enterprise,United States of America, Paseo , Medium ,861, $10.00 , $125.00 ," $107,625.00 "," $5,381.25 ",102243.75," $103,320.00 ",-1076.25,10/1/2014,10, October ,2014
Enterprise,France, Paseo , Medium ,704, $10.00 , $125.00 ," $88,000.00 "," $4,400.00 ",83600.00," $84,480.00 ",-880.00,10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ,1802, $10.00 , $20.00 ," $36,040.00 "," $1,802.00 ",34238.00," $18,020.00 ",16218.00,12/1/2013,12, December ,2013
Government,United States of America, Paseo , Medium ,2663, $10.00 , $20.00 ," $53,260.00 "," $2,663.00 ",50597.00," $26,630.00 ",23967.00,12/1/2014,12, December ,2014
Government,France, Paseo , Medium ,2136, $10.00 , $7.00 ," $14,952.00 ", $747.60 ,14204.40," $10,680.00 ",3524.40,12/1/2013,12, December ,2013
Midmarket,Germany, Paseo , Medium ,2116, $10.00 , $15.00 ," $31,740.00 "," $1,587.00 ",30153.00," $21,160.00 ",8993.00,12/1/2013,12, December ,2013
Midmarket,United States of America, Velo , Medium ,555, $120.00 , $15.00 ," $8,325.00 ", $416.25 ,7908.75," $5,550.00 ",2358.75,1/1/2014,1, January ,2014
Midmarket,Mexico, Velo , Medium ,2861, $120.00 , $15.00 ," $42,915.00 "," $2,145.75 ",40769.25," $28,610.00 ",12159.25,1/1/2014,1, January ,2014
Enterprise,Germany, Velo , Medium ,807, $120.00 , $125.00 ," $100,875.00 "," $5,043.75 ",95831.25," $96,840.00 ",-1008.75,2/1/2014,2, February ,2014
Government,United States of America, Velo , Medium ,602, $120.00 , $350.00 ," $210,700.00 "," $10,535.00 ",200165.00," $156,520.00 ",43645.00,6/1/2014,6, June ,2014
Government,United States of America, Velo , Medium ,2832, $120.00 , $20.00 ," $56,640.00 "," $2,832.00 ",53808.00," $28,320.00 ",25488.00,8/1/2014,8, August ,2014
Government,France, Velo , Medium ,1579, $120.00 , $20.00 ," $31,580.00 "," $1,579.00 ",30001.00," $15,790.00 ",14211.00,8/1/2014,8, August ,2014
Enterprise,United States of America, Velo , Medium ,861, $120.00 , $125.00 ," $107,625.00 "," $5,381.25 ",102243.75," $103,320.00 ",-1076.25,10/1/2014,10, October ,2014
Enterprise,France, Velo , Medium ,704, $120.00 , $125.00 ," $88,000.00 "," $4,400.00 ",83600.00," $84,480.00 ",-880.00,10/1/2013,10, October ,2013
Government,France, Velo , Medium ,1033, $120.00 , $20.00 ," $20,660.00 "," $1,033.00 ",19627.00," $10,330.00 ",9297.00,12/1/2013,12, December ,2013
Small Business,Germany, Velo , Medium ,1250, $120.00 , $300.00 ," $375,000.00 "," $18,750.00 ",356250.00," $312,500.00 ",43750.00,12/1/2014,12, December ,2014
Government,Canada, VTT , Medium ,1389, $250.00 , $20.00 ," $27,780.00 "," $1,389.00 ",26391.00," $13,890.00 ",12501.00,10/1/2013,10, October ,2013
Government,United States of America, VTT , Medium ,1265, $250.00 , $20.00 ," $25,300.00 "," $1,265.00 ",24035.00," $12,650.00 ",11385.00,11/1/2013,11, November ,2013
Government,Germany, VTT , Medium ,2297, $250.00 , $20.00 ," $45,940.00 "," $2,297.00 ",43643.00," $22,970.00 ",20673.00,11/1/2013,11, November ,2013
Government,United States of America, VTT , Medium ,2663, $250.00 , $20.00 ," $53,260.00 "," $2,663.00 ",50597.00," $26,630.00 ",23967.00,12/1/2014,12, December ,2014
Government,United States of America, VTT , Medium ,570, $250.00 , $7.00 ," $3,990.00 ", $199.50 ,3790.50," $2,850.00 ",940.50,12/1/2014,12, December ,2014
Government,France, VTT , Medium ,2487, $250.00 , $7.00 ," $17,409.00 ", $870.45 ,16538.55," $12,435.00 ",4103.55,12/1/2014,12, December ,2014
Government,Germany, Amarilla , Medium ,1350, $260.00 , $350.00 ," $472,500.00 "," $23,625.00 ",448875.00," $351,000.00 ",97875.00,2/1/2014,2, February ,2014
Government,Canada, Amarilla , Medium ,552, $260.00 , $350.00 ," $193,200.00 "," $9,660.00 ",183540.00," $143,520.00 ",40020.00,8/1/2014,8, August ,2014
Government,Canada, Amarilla , Medium ,1228, $260.00 , $350.00 ," $429,800.00 "," $21,490.00 ",408310.00," $319,280.00 ",89030.00,10/1/2013,10, October ,2013
Small Business,Germany, Amarilla , Medium ,1250, $260.00 , $300.00 ," $375,000.00 "," $18,750.00 ",356250.00," $312,500.00 ",43750.00,12/1/2014,12, December ,2014
Midmarket,France, Paseo , Medium ,3801, $10.00 , $15.00 ," $57,015.00 "," $3,420.90 ",53594.10," $38,010.00 ",15584.10,4/1/2014,4, April ,2014
Government,United States of America, Carretera , Medium ,1117.5, $3.00 , $20.00 ," $22,350.00 "," $1,341.00 ",21009.00," $11,175.00 ",9834.00,1/1/2014,1, January ,2014
Midmarket,Canada, Carretera , Medium ,2844, $3.00 , $15.00 ," $42,660.00 "," $2,559.60 ",40100.40," $28,440.00 ",11660.40,6/1/2014,6, June ,2014
Channel Partners,Mexico, Carretera , Medium ,562, $3.00 , $12.00 ," $6,744.00 ", $404.64 ,6339.36," $1,686.00 ",4653.36,9/1/2014,9, September ,2014
Channel Partners,Canada, Carretera , Medium ,2299, $3.00 , $12.00 ," $27,588.00 "," $1,655.28 ",25932.72," $6,897.00 ",19035.72,10/1/2013,10, October ,2013
Midmarket,United States of America, Carretera , Medium ,2030, $3.00 , $15.00 ," $30,450.00 "," $1,827.00 ",28623.00," $20,300.00 ",8323.00,11/1/2014,11, November ,2014
Government,United States of America, Carretera , Medium ,263, $3.00 , $7.00 ," $1,841.00 ", $110.46 ,1730.54," $1,315.00 ",415.54,11/1/2013,11, November ,2013
Enterprise,Germany, Carretera , Medium ,887, $3.00 , $125.00 ," $110,875.00 "," $6,652.50 ",104222.50," $106,440.00 ",-2217.50,12/1/2013,12, December ,2013
Government,Mexico, Montana , Medium ,980, $5.00 , $350.00 ," $343,000.00 "," $20,580.00 ",322420.00," $254,800.00 ",67620.00,4/1/2014,4, April ,2014
Government,Germany, Montana , Medium ,1460, $5.00 , $350.00 ," $511,000.00 "," $30,660.00 ",480340.00," $379,600.00 ",100740.00,5/1/2014,5, May ,2014
Government,France, Montana , Medium ,1403, $5.00 , $7.00 ," $9,821.00 ", $589.26 ,9231.74," $7,015.00 ",2216.74,10/1/2013,10, October ,2013
Channel Partners,United States of America, Montana , Medium ,2723, $5.00 , $12.00 ," $32,676.00 "," $1,960.56 ",30715.44," $8,169.00 ",22546.44,11/1/2014,11, November ,2014
Government,France, Paseo , Medium ,1496, $10.00 , $350.00 ," $523,600.00 "," $31,416.00 ",492184.00," $388,960.00 ",103224.00,6/1/2014,6, June ,2014
Channel Partners,Canada, Paseo , Medium ,2299, $10.00 , $12.00 ," $27,588.00 "," $1,655.28 ",25932.72," $6,897.00 ",19035.72,10/1/2013,10, October ,2013
Government,United States of America, Paseo , Medium ,727, $10.00 , $350.00 ," $254,450.00 "," $15,267.00 ",239183.00," $189,020.00 ",50163.00,10/1/2013,10, October ,2013
Enterprise,Canada, Velo , Medium ,952, $120.00 , $125.00 ," $119,000.00 "," $7,140.00 ",111860.00," $114,240.00 ",-2380.00,2/1/2014,2, February ,2014
Enterprise,United States of America, Velo , Medium ,2755, $120.00 , $125.00 ," $344,375.00 "," $20,662.50 ",323712.50," $330,600.00 ",-6887.50,2/1/2014,2, February ,2014
Midmarket,Germany, Velo , Medium ,1530, $120.00 , $15.00 ," $22,950.00 "," $1,377.00 ",21573.00," $15,300.00 ",6273.00,5/1/2014,5, May ,2014
Government,France, Velo , Medium ,1496, $120.00 , $350.00 ," $523,600.00 "," $31,416.00 ",492184.00," $388,960.00 ",103224.00,6/1/2014,6, June ,2014
Government,Mexico, Velo , Medium ,1498, $120.00 , $7.00 ," $10,486.00 ", $629.16 ,9856.84," $7,490.00 ",2366.84,6/1/2014,6, June ,2014
Small Business,France, Velo , Medium ,1221, $120.00 , $300.00 ," $366,300.00 "," $21,978.00 ",344322.00," $305,250.00 ",39072.00,10/1/2013,10, October ,2013
Government,France, Velo , Medium ,2076, $120.00 , $350.00 ," $726,600.00 "," $43,596.00 ",683004.00," $539,760.00 ",143244.00,10/1/2013,10, October ,2013
Midmarket,Canada, VTT , Medium ,2844, $250.00 , $15.00 ," $42,660.00 "," $2,559.60 ",40100.40," $28,440.00 ",11660.40,6/1/2014,6, June ,2014
Government,Mexico, VTT , Medium ,1498, $250.00 , $7.00 ," $10,486.00 ", $629.16 ,9856.84," $7,490.00 ",2366.84,6/1/2014,6, June ,2014
Small Business,France, VTT , Medium ,1221, $250.00 , $300.00 ," $366,300.00 "," $21,978.00 ",344322.00," $305,250.00 ",39072.00,10/1/2013,10, October ,2013
Government,Mexico, VTT , Medium ,1123, $250.00 , $20.00 ," $22,460.00 "," $1,347.60 ",21112.40," $11,230.00 ",9882.40,11/1/2013,11, November ,2013
Small Business,Canada, VTT , Medium ,2436, $250.00 , $300.00 ," $730,800.00 "," $43,848.00 ",686952.00," $609,000.00 ",77952.00,12/1/2013,12, December ,2013
Enterprise,France, Amarilla , Medium ,1987.5, $260.00 , $125.00 ," $248,437.50 "," $14,906.25 ",233531.25," $238,500.00 ",-4968.75,1/1/2014,1, January ,2014
Government,Mexico, Amarilla , Medium ,1679, $260.00 , $350.00 ," $587,650.00 "," $35,259.00 ",552391.00," $436,540.00 ",115851.00,9/1/2014,9, September ,2014
Government,United States of America, Amarilla , Medium ,727, $260.00 , $350.00 ," $254,450.00 "," $15,267.00 ",239183.00," $189,020.00 ",50163.00,10/1/2013,10, October ,2013
Government,France, Amarilla , Medium ,1403, $260.00 , $7.00 ," $9,821.00 ", $589.26 ,9231.74," $7,015.00 ",2216.74,10/1/2013,10, October ,2013
Government,France, Amarilla , Medium ,2076, $260.00 , $350.00 ," $726,600.00 "," $43,596.00 ",683004.00," $539,760.00 ",143244.00,10/1/2013,10, October ,2013
Government,France, Montana , Medium ,1757, $5.00 , $20.00 ," $35,140.00 "," $2,108.40 ",33031.60," $17,570.00 ",15461.60,10/1/2013,10, October ,2013
Midmarket,United States of America, Paseo , Medium ,2198, $10.00 , $15.00 ," $32,970.00 "," $1,978.20 ",30991.80," $21,980.00 ",9011.80,8/1/2014,8, August ,2014
Midmarket,Germany, Paseo , Medium ,1743, $10.00 , $15.00 ," $26,145.00 "," $1,568.70 ",24576.30," $17,430.00 ",7146.30,8/1/2014,8, August ,2014
Midmarket,United States of America, Paseo , Medium ,1153, $10.00 , $15.00 ," $17,295.00 "," $1,037.70 ",16257.30," $11,530.00 ",4727.30,10/1/2014,10, October ,2014
Government,France, Paseo , Medium ,1757, $10.00 , $20.00 ," $35,140.00 "," $2,108.40 ",33031.60," $17,570.00 ",15461.60,10/1/2013,10, October ,2013
Government,Germany, Velo , Medium ,1001, $120.00 , $20.00 ," $20,020.00 "," $1,201.20 ",18818.80," $10,010.00 ",8808.80,8/1/2014,8, August ,2014
Government,Mexico, Velo , Medium ,1333, $120.00 , $7.00 ," $9,331.00 ", $559.86 ,8771.14," $6,665.00 ",2106.14,11/1/2014,11, November ,2014
Midmarket,United States of America, VTT , Medium ,1153, $250.00 , $15.00 ," $17,295.00 "," $1,037.70 ",16257.30," $11,530.00 ",4727.30,10/1/2014,10, October ,2014
Channel Partners,Mexico, Carretera , Medium ,727, $3.00 , $12.00 ," $8,724.00 ", $610.68 ,8113.32," $2,181.00 ",5932.32,2/1/2014,2, February ,2014
Channel Partners,Canada, Carretera , Medium ,1884, $3.00 , $12.00 ," $22,608.00 "," $1,582.56 ",21025.44," $5,652.00 ",15373.44,8/1/2014,8, August ,2014
Government,Mexico, Carretera , Medium ,1834, $3.00 , $20.00 ," $36,680.00 "," $2,567.60 ",34112.40," $18,340.00 ",15772.40,9/1/2013,9, September ,2013
Channel Partners,Mexico, Montana , Medium ,2340, $5.00 , $12.00 ," $28,080.00 "," $1,965.60 ",26114.40," $7,020.00 ",19094.40,1/1/2014,1, January ,2014
Channel Partners,France, Montana , Medium ,2342, $5.00 , $12.00 ," $28,104.00 "," $1,967.28 ",26136.72," $7,026.00 ",19110.72,11/1/2014,11, November ,2014
Government,France, Paseo , Medium ,1031, $10.00 , $7.00 ," $7,217.00 ", $505.19 ,6711.81," $5,155.00 ",1556.81,9/1/2013,9, September ,2013
Midmarket,Canada, Velo , Medium ,1262, $120.00 , $15.00 ," $18,930.00 "," $1,325.10 ",17604.90," $12,620.00 ",4984.90,5/1/2014,5, May ,2014
Government,Canada, Velo , Medium ,1135, $120.00 , $7.00 ," $7,945.00 ", $556.15 ,7388.85," $5,675.00 ",1713.85,6/1/2014,6, June ,2014
Government,United States of America, Velo , Medium ,547, $120.00 , $7.00 ," $3,829.00 ", $268.03 ,3560.97," $2,735.00 ",825.97,11/1/2014,11, November ,2014
Government,Canada, Velo , Medium ,1582, $120.00 , $7.00 ," $11,074.00 ", $775.18 ,10298.82," $7,910.00 ",2388.82,12/1/2014,12, December ,2014
Channel Partners,France, VTT , Medium ,1738.5, $250.00 , $12.00 ," $20,862.00 "," $1,460.34 ",19401.66," $5,215.50 ",14186.16,4/1/2014,4, April ,2014
Channel Partners,Germany, VTT , Medium ,2215, $250.00 , $12.00 ," $26,580.00 "," $1,860.60 ",24719.40," $6,645.00 ",18074.40,9/1/2013,9, September ,2013
Government,Canada, VTT , Medium ,1582, $250.00 , $7.00 ," $11,074.00 ", $775.18 ,10298.82," $7,910.00 ",2388.82,12/1/2014,12, December ,2014
Government,Canada, Amarilla , Medium ,1135, $260.00 , $7.00 ," $7,945.00 ", $556.15 ,7388.85," $5,675.00 ",1713.85,6/1/2014,6, June ,2014
Government,United States of America, Carretera , Medium ,1761, $3.00 , $350.00 ," $616,350.00 "," $43,144.50 ",573205.50," $457,860.00 ",115345.50,3/1/2014,3, March ,2014
Small Business,France, Carretera , Medium ,448, $3.00 , $300.00 ," $134,400.00 "," $9,408.00 ",124992.00," $112,000.00 ",12992.00,6/1/2014,6, June ,2014
Small Business,France, Carretera , Medium ,2181, $3.00 , $300.00 ," $654,300.00 "," $45,801.00 ",608499.00," $545,250.00 ",63249.00,10/1/2014,10, October ,2014
